customer_id,signup_date,age,gender,country,plan_type,monthly_fee
100001,2025-01-31,63,Male,India,Basic,9.99
100002,2024-05-10,43,Male,USA,Standard,19.99
100003,2025-02-04,65,Male,Canada,Standard,19.99
100004,2024-12-31,56,Male,UK,Premium,39.99
100005,2024-11-10,58,Male,India,Standard,19.99
100006,2022-05-02,21,Female,Australia,Standard,19.99
100007,2023-04-12,47,Female,USA,Standard,19.99
100008,2022-11-27,47,Female,USA,Premium,39.99
100009,2022-03-29,39,Female,India,Standard,19.99
100010,2025-01-28,28,Female,Canada,Standard,19.99
100011,2024-05-21,19,Female,USA,Basic,9.99
100012,2022-05-11,61,Female,India,Premium,39.99
100013,2024-02-09,29,Male,Canada,Basic,9.99
100014,2022-12-10,47,Female,India,Basic,9.99
100015,2024-03-16,53,Male,India,Standard,19.99
100016,2023-01-21,35,Male,Canada,Premium,39.99
100017,2024-08-13,43,Female,Canada,Standard,19.99
100018,2022-10-04,24,Male,Canada,Standard,19.99
100019,2025-03-30,18,Male,India,Premium,39.99
100020,2023-04-05,43,Female,USA,Standard,19.99
100021,2022-01-22,40,Female,UK,Standard,19.99
100022,2022-09-10,43,Female,UK,Standard,19.99
100023,2024-01-18,62,Female,India,Premium,39.99
100024,2024-05-06,23,Male,India,Standard,19.99
100025,2023-04-20,23,Male,USA,Premium,39.99
100026,2024-12-18,61,Female,Canada,Basic,9.99
100027,2023-05-26,25,Male,India,Basic,9.99
100028,2023-12-01,41,Female,Australia,Basic,9.99
100029,2024-09-02,39,Male,Canada,Standard,19.99
100030,2022-07-09,36,Male,India,Premium,39.99
100031,2024-08-15,54,Female,Australia,Basic,9.99
100032,2023-11-18,35,Female,USA,Basic,9.99
100033,2024-08-15,48,Female,Australia,Basic,9.99
100034,2023-07-17,54,Female,India,Standard,19.99
100035,2024-04-11,47,Male,UK,Basic,9.99
100036,2025-02-28,59,Male,India,Basic,9.99
100037,2023-10-09,50,Male,UK,Premium,39.99
100038,2022-01-21,27,Male,USA,Basic,9.99
100039,2024-04-20,54,Male,USA,Standard,19.99
100040,2022-06-16,29,Female,Canada,Standard,19.99
100041,2023-01-23,47,Male,Canada,Standard,19.99
100042,2023-08-24,44,Female,UK,Basic,9.99
100043,2022-11-12,56,Female,UK,Premium,39.99
100044,2022-01-14,26,Male,USA,Standard,19.99
100045,2022-08-30,38,Male,Australia,Basic,9.99
100046,2024-02-16,29,Male,UK,Basic,9.99
100047,2023-07-19,46,Female,UK,Basic,9.99
100048,2024-06-16,50,Male,Australia,Standard,19.99
100049,2022-04-02,60,Male,Canada,Standard,19.99
100050,2024-08-13,32,Female,Canada,Basic,9.99
100051,2023-05-24,19,Male,UK,Basic,9.99
100052,2024-02-15,69,Female,Canada,Premium,39.99
100053,2022-02-04,56,Female,Canada,Premium,39.99
100054,2022-07-25,61,Female,Canada,Standard,19.99
100055,2025-01-09,35,Male,USA,Standard,19.99
100056,2024-10-22,20,Female,India,Premium,39.99
100057,2024-10-18,24,Female,UK,Standard,19.99
100058,2023-07-20,60,Male,UK,Standard,19.99
100059,2025-02-03,35,Male,USA,Basic,9.99
100060,2023-12-04,61,Male,India,Standard,19.99
100061,2023-02-06,55,Female,India,Basic,9.99
100062,2023-12-31,54,Female,USA,Basic,9.99
100063,2022-06-11,50,Female,Australia,Premium,39.99
100064,2022-07-21,61,Female,Australia,Standard,19.99
100065,2024-09-22,48,Male,India,Premium,39.99
100066,2022-09-27,28,Male,Australia,Standard,19.99
100067,2024-03-26,21,Female,Australia,Premium,39.99
100068,2023-04-01,35,Female,Australia,Basic,9.99
100069,2024-10-13,21,Male,India,Standard,19.99
100070,2022-10-23,66,Female,Australia,Basic,9.99
100071,2023-12-21,51,Female,UK,Basic,9.99
100072,2022-12-04,46,Female,India,Basic,9.99
100073,2024-05-28,41,Female,USA,Standard,19.99
100074,2024-12-12,39,Female,Australia,Basic,9.99
100075,2024-03-02,19,Male,Canada,Standard,19.99
100076,2022-08-05,61,Female,India,Basic,9.99
100077,2024-02-03,23,Male,USA,Basic,9.99
100078,2022-07-07,59,Female,UK,Standard,19.99
100079,2023-01-15,42,Male,USA,Premium,39.99
100080,2023-05-08,38,Female,Australia,Basic,9.99
100081,2024-11-30,33,Female,Canada,Standard,19.99
100082,2025-03-26,48,Male,Australia,Premium,39.99
100083,2022-01-15,31,Male,USA,Standard,19.99
100084,2022-03-06,56,Other,India,Standard,19.99
100085,2023-06-05,45,Other,Canada,Basic,9.99
100086,2025-02-26,49,Male,Canada,Standard,19.99
100087,2023-10-10,45,Other,USA,Basic,9.99
