customer_id,event_date,event_type,event_value
100001,2022-05-11,share,66.21
100001,2022-01-26,watch,15.84
100001,2024-12-12,share,82.19
100001,2025-10-11,search,83.66
100001,2025-02-03,search,12.35
100001,2025-08-07,search,43.06
100001,2022-01-06,share,46.79
100001,2023-10-11,share,66.96
100001,2022-12-05,search,49.27
100001,2025-08-16,purchase,6.62
100002,2024-08-12,watch,39.25
100002,2024-05-01,share,66.09
100002,2022-09-06,watch,15.57
100002,2022-05-29,login,90.73
100002,2024-07-07,login,65.77
100002,2025-03-16,search,67.34
100002,2024-11-16,search,70.55
100002,2022-08-21,watch,22.44
100002,2024-12-18,share,43.0
100002,2023-11-04,login,92.69
100003,2025-09-06,purchase,55.17
100003,2025-02-25,login,90.53
100003,2023-08-17,watch,13.63
100003,2023-07-05,purchase,86.52
100003,2025-07-31,login,49.22
100003,2024-07-23,search,18.62
100003,2022-05-11,share,87.81
100003,2023-07-21,search,3.87
100003,2023-05-23,share,37.62
100003,2022-10-31,login,42.45
100003,2024-09-18,watch,53.56
100003,2024-09-09,purchase,35.56
100003,2024-09-08,login,28.58
100004,2022-09-23,login,40.11
100004,2022-04-01,login,47.44
100004,2022-01-02,search,58.59
100004,2025-10-15,login,5.37
100004,2025-08-18,search,84.76
100004,2023-09-04,watch,60.58
100004,2022-08-28,login,76.93
100005,2023-04-28,share,92.94
100005,2023-12-21,share,32.62
100005,2025-09-04,purchase,89.29
100005,2022-10-27,share,71.33
100005,2022-08-09,search,89.39
100005,2025-03-26,share,35.99
100005,2022-12-25,search,47.01
100005,2022-07-18,login,11.23
100005,2023-01-10,search,92.33
100005,2024-08-15,watch,1.82
100005,2023-01-04,purchase,74.29
100005,2022-12-22,search,78.82
100005,2022-11-01,search,91.38
100005,2023-07-04,watch,95.05
100005,2023-07-01,purchase,45.95
100005,2022-05-04,share,56.56
100005,2024-02-14,search,32.7
100005,2023-04-14,login,97.78
100005,2022-10-23,purchase,32.01
100006,2023-12-20,search,77.13
100006,2023-04-27,search,27.3
100006,2022-04-30,share,31.35
100006,2023-08-13,search,62.66
100006,2025-01-28,login,69.3
100006,2024-11-07,search,72.16
100006,2022-12-16,search,82.16
100006,2023-05-17,share,80.37
100006,2024-05-09,watch,27.39
100006,2025-10-16,search,31.84
100007,2025-09-09,share,35.31
100007,2025-03-15,login,4.35
100007,2022-03-07,search,40.97
100007,2023-05-19,search,79.96
100007,2023-03-21,search,9.76
100007,2023-08-02,share,43.63
100008,2024-11-25,watch,54.36
100008,2023-04-06,share,68.96
100008,2024-05-29,purchase,3.4
100008,2023-04-14,login,9.58
100008,2025-09-07,login,99.47
100008,2024-09-30,login,84.78
100008,2022-07-10,watch,23.52
100008,2024-07-10,purchase,70.07
100008,2024-12-28,login,2.68
100008,2023-05-10,search,45.77
100008,2025-03-04,login,30.55
100008,2023-09-12,purchase,73.78
100008,2024-12-21,share,34.36
100008,2024-05-04,purchase,52.8
100008,2022-05-31,share,89.8
100009,2024-03-29,login,4.05
100009,2023-11-01,login,15.87
100009,2024-06-21,login,68.28
100009,2024-05-12,purchase,6.72
100009,2024-01-25,watch,13.14
100009,2022-04-03,purchase,76.04
100009,2023-11-27,share,22.36
100009,2022-07-16,watch,31.23
100009,2024-05-20,share,52.19
100010,2024-11-15,search,7.04
100010,2025-01-08,login,72.0
100010,2024-05-29,watch,36.16
100010,2024-07-29,purchase,92.48
100010,2023-10-20,search,47.35
100010,2025-07-20,login,20.16
100011,2024-05-31,login,39.59
100011,2025-10-19,login,40.82
100011,2025-10-30,watch,19.29
100011,2022-02-11,login,88.97
100011,2023-08-13,purchase,23.43
100011,2022-12-09,login,89.34
100011,2023-01-05,search,83.68
100011,2022-09-28,watch,61.34
100012,2025-07-31,login,16.09
100012,2022-05-01,search,97.28
100012,2022-09-02,purchase,50.92
100012,2022-02-09,share,41.35
100012,2022-04-18,share,39.67
100012,2025-09-01,share,3.22
100012,2023-08-09,share,33.14
100012,2022-01-21,purchase,26.38
100012,2025-05-01,watch,56.79
100012,2025-09-18,watch,65.18
100012,2025-05-12,share,93.0
100012,2022-10-24,watch,82.18
100012,2025-09-04,watch,63.94
100012,2024-09-04,search,33.31
100012,2022-07-08,purchase,13.11
100012,2022-05-22,search,40.38
100013,2022-05-13,watch,69.86
100013,2025-05-03,search,38.78
100013,2022-07-14,watch,42.98
100013,2023-04-08,share,70.26
100013,2025-07-30,watch,73.66
100013,2023-12-30,share,58.25
100013,2023-07-16,purchase,64.19
100013,2024-04-19,watch,13.81
100013,2025-08-15,watch,94.52
100014,2025-08-28,login,88.51
100014,2023-07-28,watch,77.51
100014,2024-08-09,share,76.65
100014,2024-05-30,search,36.52
100014,2022-07-21,purchase,85.87
100014,2024-08-05,purchase,50.13
100014,2023-02-19,watch,2.94
100014,2024-01-15,share,42.52
100015,2023-07-28,watch,77.76
100015,2023-07-14,watch,44.69
100015,2025-01-07,login,1.27
100015,2025-08-02,search,70.01
100015,2022-01-23,login,17.99
100015,2023-08-19,search,85.34
100015,2022-05-22,watch,59.99
100015,2023-05-18,purchase,58.89
100016,2022-08-17,login,18.79
100016,2024-01-18,purchase,84.98
100016,2023-03-23,login,21.55
100016,2025-09-11,login,53.94
100016,2024-12-14,watch,15.24
100016,2025-10-31,watch,93.33
100016,2023-12-14,search,56.71
100017,2024-01-09,login,39.01
100017,2023-11-30,search,65.13
100017,2025-07-08,watch,31.42
100017,2024-11-03,login,91.51
100017,2025-04-03,watch,24.67
100017,2025-04-24,share,14.08
100017,2022-05-11,search,9.76
100017,2025-02-02,search,60.71
100017,2022-01-01,purchase,31.88
100017,2022-04-02,watch,63.51
100017,2025-04-16,purchase,28.28
100017,2023-01-03,purchase,47.56
100017,2022-01-09,purchase,11.7
100017,2023-11-24,share,81.35
100017,2025-01-07,login,13.49
100018,2023-12-06,search,34.98
100018,2023-09-13,purchase,29.26
100018,2022-10-22,search,75.37
100018,2023-11-02,login,81.03
100018,2022-05-01,watch,31.26
100018,2023-10-24,login,88.01
100018,2025-08-03,search,64.89
100018,2023-06-19,login,36.19
100018,2025-10-27,watch,24.19
100018,2024-02-14,search,70.0
100018,2025-04-12,purchase,34.39
100018,2024-02-06,search,55.21
100018,2023-05-05,login,58.32
100018,2025-07-11,share,27.88
100018,2023-08-02,share,98.47
100019,2023-02-19,search,90.28
100019,2023-12-15,login,64.24
100019,2025-03-14,search,39.37
100019,2025-03-21,search,86.88
100019,2025-07-22,login,50.96
