ticket_id,customer_id,ticket_date,ticket_category,resolution_time_hrs,satisfaction_score
1,100003,2025-01-15,Billing,47.9,4.5
2,100004,2023-11-10,Feature,3.2,2.8
3,100004,2025-02-06,Technical,10.5,2.4
4,100004,2025-10-07,Account,58.1,3.6
5,100007,2023-09-17,Technical,46.4,3.0
6,100011,2023-03-14,Feature,67.3,5.0
7,100012,2022-12-07,Feature,58.1,2.9
8,100012,2022-01-20,Technical,35.6,4.9
9,100012,2024-07-16,Technical,69.3,2.0
10,100013,2025-10-27,Account,70.3,2.0
11,100014,2023-12-02,Account,35.2,2.9
12,100017,2024-10-30,Feature,37.4,3.2
13,100018,2024-12-14,Account,23.8,3.2
14,100020,2024-04-19,Account,51.8,4.4
15,100021,2024-03-26,Technical,13.2,4.6
16,100023,2025-08-15,Billing,36.1,2.2
17,100023,2023-04-11,Technical,70.7,4.3
18,100023,2022-07-09,Billing,59.3,3.1
19,100027,2025-10-04,Account,18.6,3.5
20,100027,2022-09-07,Account,24.1,3.0
21,100027,2022-08-04,Technical,19.3,3.1
22,100028,2025-03-02,Billing,9.9,4.3
23,100028,2025-08-07,Technical,14.3,3.1
24,100030,2025-07-08,Account,24.6,4.2
25,100030,2022-03-25,Feature,56.4,3.9
26,100030,2025-10-27,Feature,2.5,4.8
27,100030,2025-08-27,Billing,44.1,2.4
28,100032,2023-07-09,Technical,53.3,2.3
29,100034,2022-04-15,Billing,60.5,2.8
30,100034,2025-05-14,Billing,70.3,3.3
31,100039,2025-06-30,Feature,46.1,3.7
32,100041,2024-10-23,Technical,36.8,4.1
33,100044,2025-08-05,Billing,18.2,3.7
34,100044,2023-06-28,Feature,29.2,3.3
35,100045,2022-11-24,Account,69.9,2.2
36,100045,2025-10-05,Billing,34.6,3.9
37,100045,2022-05-07,Account,20.6,2.2
38,100045,2025-10-17,Feature,18.1,4.1
39,100046,2024-09-02,Technical,21.7,3.9
40,100047,2022-02-12,Feature,66.7,4.7
41,100048,2025-06-23,Billing,65.0,3.0
42,100049,2022-02-05,Feature,2.1,2.8
43,100049,2022-06-16,Feature,45.4,2.9
44,100049,2023-01-19,Account,56.8,3.9
45,100049,2023-06-03,Feature,11.8,4.7
46,100049,2024-12-30,Account,45.6,3.3
47,100050,2022-12-29,Technical,38.5,2.4
48,100050,2025-05-28,Account,12.9,4.3
49,100050,2025-09-15,Feature,62.8,4.8
50,100050,2022-05-09,Feature,27.3,4.8
51,100051,2023-06-11,Account,23.5,4.2
52,100052,2022-10-25,Account,56.8,2.7
53,100052,2025-01-06,Billing,54.1,2.8
54,100053,2024-10-17,Technical,17.3,3.1
55,100054,2025-02-28,Feature,27.7,4.1
56,100054,2022-10-08,Feature,65.3,4.1
57,100054,2022-06-02,Account,12.8,2.1
58,100055,2024-08-27,Feature,39.3,4.5
59,100056,2024-10-28,Technical,33.0,3.3
60,100056,2023-04-19,Account,64.9,4.6
61,100056,2024-09-19,Billing,12.7,4.2
62,100058,2023-06-17,Account,52.2,4.5
63,100058,2025-02-09,Account,19.1,3.2
64,100058,2022-10-07,Technical,3.9,2.7
65,100059,2024-09-12,Technical,3.9,3.3
66,100060,2024-02-02,Technical,6.3,3.8
67,100061,2024-03-31,Technical,64.2,3.6
68,100063,2025-09-01,Feature,33.3,3.8
69,100063,2025-05-05,Feature,18.7,3.0
70,100063,2023-04-16,Billing,23.4,2.6
71,100063,2025-08-09,Billing,53.5,3.9
72,100066,2024-01-21,Billing,19.4,2.6
73,100066,2024-02-23,Feature,64.0,2.6
74,100068,2024-10-25,Billing,38.8,3.4
75,100069,2022-12-04,Account,15.3,4.2
76,100069,2024-07-30,Billing,67.8,4.9
77,100071,2022-04-26,Feature,41.4,3.6
78,100071,2025-07-08,Technical,40.9,2.4
79,100072,2024-10-31,Account,15.1,2.8
80,100074,2025-05-30,Feature,47.5,4.3
81,100075,2025-06-01,Technical,14.9,4.6
82,100076,2022-05-24,Technical,12.5,2.7
83,100077,2023-07-06,Feature,9.1,3.0
84,100077,2025-08-30,Feature,27.7,3.1
85,100077,2024-04-03,Technical,39.2,2.9
86,100080,2024-09-17,Billing,42.2,3.5
87,100082,2023-02-22,Account,64.8,4.8
88,100082,2022-10-25,Account,29.9,3.3
89,100083,2024-03-22,Account,48.3,4.8
90,100084,2023-10-27,Account,45.1,4.9
91,100084,2022-08-08,Billing,1.6,2.6
92,100085,2022-09-09,Technical,17.0,2.1
93,100085,2024-09-14,Technical,65.9,4.9
94,100087,2023-10-21,Billing,44.9,3.2
95,100087,2025-01-24,Account,47.6,3.7
96,100087,2023-08-14,Technical,6.7,2.5
97,100089,2024-12-04,Account,12.4,4.8
98,100089,2024-02-09,Billing,28.9,2.2
99,100090,2023-08-01,Feature,14.0,3.6
100,100091,2023-12-28,Technical,28.2,2.3
101,100092,2024-02-05,Technical,46.0,3.3
102,100095,2025-04-11,Technical,48.6,3.5
103,100095,2025-10-08,Feature,60.4,4.0
104,100097,2022-09-09,Feature,39.2,4.1
105,100098,2023-10-13,Feature,38.4,4.6
106,100098,2024-09-29,Feature,42.5,2.7
107,100098,2022-10-01,Account,36.0,2.1
108,100100,2024-04-25,Account,69.4,3.2
109,100101,2023-02-12,Feature,16.0,2.6
110,100101,2024-01-29,Feature,71.5,3.1
111,100102,2024-02-26,Technical,63.1,4.1
112,100103,2024-11-11,Feature,47.6,3.1
113,100104,2023-02-15,Technical,68.0,3.5
114,100106,2024-09-06,Technical,56.5,4.0
115,100106,2024-09-29,Technical,1.6,4.1
116,100107,2025-07-26,Account,5.6,4.9
117,100108,2022-11-26,Account,59.7,3.3
118,100110,2024-10-25,Billing,23.8,3.6
119,100112,2025-05-10,Account,18.4,5.0
120,100112,2023-07-05,Feature,40.0,2.4
121,100112,2024-07-31,Feature,36.1,4.7
122,100112,2024-05-02,Technical,43.7,4.0
123,100114,2022-01-15,Feature,11.0,4.5
124,100114,2022-06-29,Billing,31.5,3.4
125,100114,2022-01-08,Feature,54.2,3.9
126,100114,2023-12-03,Feature,16.1,2.4
127,100115,2022-09-20,Feature,34.1,2.9
128,100117,2022-02-18,Feature,63.0,2.1
129,100118,2024-11-20,Feature,13.6,3.3
130,100123,2023-11-15,Technical,55.2,2.0
131,100123,2025-06-02,Technical,5.7,2.8
132,100124,2024-02-26,Technical,13.8,4.4
133,100125,2024-03-16,Billing,63.8,2.8
134,100125,2024-12-31,Billing,63.9,2.6
135,100128,2025-07-07,Account,61.5,4.5
136,100128,2023-02-18,Account,23.2,2.9
137,100130,2024-03-21,Account,33.1,4.0
138,100130,2023-08-13,Billing,56.5,3.2
139,100133,2025-03-14,Billing,37.9,4.9
140,100134,2023-09-28,Account,12.2,2.7
141,100134,2023-12-03,Billing,12.1,4.2
142,100134,2024-09-15,Billing,71.9,3.7
143,100135,2024-09-18,Feature,65.5,4.6
144,100136,2024-03-09,Feature,14.4,2.0
145,100136,2025-07-23,Account,30.5,3.8
146,100137,2024-03-26,Account,25.3,3.4
147,100139,2024-08-31,Account,21.4,4.5
148,100139,2022-09-05,Account,4.7,2.3
149,100140,2023-03-27,Technical,30.3,3.7
150,100142,2024-05-22,Billing,69.4,3.5
151,100142,2025-03-31,Technical,20.3,4.8
152,100142,2025-10-25,Billing,29.0,2.9
153,100143,2022-06-10,Technical,69.9,4.8
154,100144,2025-05-07,Account,68.3,3.3
155,100145,2022-08-29,Technical,32.6,4.3
156,100147,2022-10-19,Feature,25.9,2.6
157,100147,2025-06-10,Billing,12.1,4.9
158,100148,2022-12-30,Technical,36.8,3.6
159,100148,2024-04-14,Feature,48.8,3.8
160,100148,2025-05-16,Technical,13.0,4.7
161,100150,2022-04-28,Technical,40.9,4.7
162,100150,2023-03-27,Billing,2.9,3.4
163,100150,2024-02-28,Technical,1.1,2.8
164,100151,2024-01-25,Billing,41.1,2.1
165,100152,2024-10-24,Technical,64.8,4.3
166,100153,2023-09-24,Technical,33.1,4.8
167,100153,2024-08-11,Technical,26.8,4.6
168,100154,2023-11-07,Billing,18.5,3.1
169,100155,2024-05-11,Account,51.6,2.3
170,100156,2025-03-01,Feature,36.1,4.7
171,100157,2024-01-21,Account,41.7,3.4
172,100158,2025-03-04,Feature,7.7,3.2
173,100160,2025-07-05,Feature,61.4,2.7
174,100161,2023-06-04,Account,6.0,4.1
175,100164,2023-01-31,Account,69.4,4.1
176,100164,2022-05-10,Technical,9.2,2.4
177,100165,2024-12-11,Feature,17.8,4.0
178,100165,2023-05-08,Technical,29.8,2.8
179,100165,2023-11-30,Account,37.0,3.1
180,100166,2023-07-04,Technical,46.7,2.4
181,100168,2023-11-21,Feature,46.4,3.7
182,100169,2024-05-24,Technical,44.8,2.4
183,100169,2022-02-27,Billing,3.7,3.7
184,100171,2022-01-20,Feature,67.5,3.0
185,100171,2025-06-13,Billing,56.8,3.0
186,100172,2023-04-13,Billing,12.5,4.6
187,100173,2023-01-29,Technical,57.6,4.4
188,100173,2022-02-02,Technical,44.8,4.1
189,100178,2023-09-29,Technical,6.3,5.0
190,100182,2022-12-23,Feature,53.0,4.9
191,100182,2023-02-01,Account,51.8,4.3
192,100183,2024-10-13,Feature,10.9,2.6
193,100183,2023-08-17,Account,20.3,2.4
194,100184,2024-02-15,Billing,29.1,2.2
195,100185,2024-04-23,Account,12.9,4.1
196,100186,2024-10-08,Technical,19.7,3.6
197,100186,2022-03-16,Account,43.8,2.9
198,100186,2022-06-07,Account,21.1,2.5
199,100189,2023-04-21,Technical,49.0,2.1
200,100191,2025-03-07,Billing,2.5,3.1
201,100192,2023-04-05,Feature,33.3,3.3
202,100193,2025-05-23,Technical,56.1,3.7
203,100194,2022-04-08,Account,62.4,2.2
204,100198,2023-08-05,Billing,11.5,3.5
205,100201,2023-04-11,Technical,21.5,4.1
206,100201,2024-01-28,Account,22.1,4.3
207,100202,2022-03-07,Account,55.7,2.6
208,100202,2023-03-22,Feature,68.5,2.4
209,100204,2023-02-20,Technical,3.7,4.3
210,100204,2022-06-03,Technical,2.4,4.5
211,100204,2024-05-25,Billing,27.1,4.1
212,100205,2024-01-13,Technical,64.3,4.0
213,100205,2023-05-11,Billing,44.6,2.9
214,100208,2025-04-18,Account,27.0,2.6
215,100209,2025-06-13,Account,20.1,5.0
216,100209,2022-11-15,Billing,61.0,4.9
217,100210,2022-03-27,Feature,49.9,4.7
218,100210,2025-03-02,Technical,13.6,3.0
219,100212,2024-01-17,Billing,27.1,2.6
220,100212,2025-03-19,Billing,47.0,5.0
221,100214,2023-10-06,Billing,18.7,4.7
222,100215,2025-08-15,Billing,44.5,4.1
223,100216,2023-02-02,Feature,66.4,3.4
224,100216,2025-03-15,Technical,37.2,2.5
