customer_id,transaction_date,amount,payment_method,is_refund
100001,2023-07-07,6.38,PayPal,0
100001,2025-05-23,79.78,PayPal,0
100001,2024-06-17,20.09,UPI,0
100002,2024-07-30,16.23,Card,0
100002,2024-11-20,46.87,NetBanking,0
100002,2025-10-26,71.0,PayPal,0
100002,2024-09-30,25.07,NetBanking,0
100002,2025-09-30,28.31,UPI,0
100002,2024-04-16,57.6,UPI,0
100002,2024-11-18,27.53,UPI,0
100002,2024-01-19,70.24,UPI,0
100002,2024-11-21,59.66,NetBanking,0
100002,2025-08-21,7.42,PayPal,0
100002,2022-06-16,54.7,Card,0
100002,2022-09-30,54.46,Card,0
100003,2025-09-26,23.53,PayPal,0
100003,2025-05-04,20.97,Card,0
100003,2022-11-29,61.11,UPI,0
100003,2024-07-12,32.56,UPI,0
100003,2024-02-24,8.38,Card,0
100003,2022-06-26,15.42,PayPal,0
100003,2022-09-07,75.28,Card,0
100004,2025-05-12,60.56,UPI,0
100004,2022-02-13,63.45,UPI,0
100004,2023-03-11,60.36,Card,0
100004,2025-06-25,74.36,NetBanking,0
100004,2024-01-07,67.89,PayPal,0
100004,2022-05-03,15.69,UPI,0
100004,2023-05-26,62.15,PayPal,0
100004,2024-03-31,32.92,PayPal,0
100004,2022-11-28,19.9,NetBanking,0
100004,2024-09-10,39.2,NetBanking,1
100005,2024-01-21,26.09,UPI,1
100005,2022-10-20,8.59,NetBanking,0
100005,2022-06-05,16.96,Card,0
100005,2024-04-30,70.01,NetBanking,0
100006,2022-08-12,49.08,NetBanking,0
100006,2022-10-24,66.46,PayPal,0
100006,2022-02-08,30.11,Card,0
100007,2025-02-14,47.04,UPI,0
100007,2024-01-10,24.31,Card,0
100007,2023-09-15,29.14,Card,0
100007,2024-09-27,61.1,NetBanking,0
100007,2024-03-01,13.61,PayPal,0
100007,2025-05-30,51.81,Card,0
100007,2024-07-01,58.15,PayPal,0
100007,2025-07-18,34.77,PayPal,0
100007,2023-11-04,63.43,Card,0
100008,2024-01-17,76.26,UPI,0
100008,2025-06-16,70.32,NetBanking,0
100008,2022-01-12,18.89,Card,0
100008,2022-06-27,12.35,NetBanking,0
100008,2022-09-27,54.22,NetBanking,0
100008,2022-02-28,45.89,UPI,0
100008,2025-01-18,57.75,Card,0
100008,2023-05-01,33.89,NetBanking,0
100008,2025-08-29,60.91,PayPal,0
100008,2022-11-10,44.27,Card,0
100008,2023-03-27,69.61,PayPal,0
100009,2022-11-24,21.7,PayPal,1
100009,2023-11-23,19.55,NetBanking,0
100009,2024-11-24,52.52,Card,0
100009,2022-03-15,44.25,NetBanking,0
100009,2022-10-07,59.85,PayPal,0
100009,2022-10-18,5.3,UPI,1
100010,2024-11-21,19.1,UPI,0
100010,2024-12-15,73.7,Card,0
100010,2022-04-11,28.95,PayPal,0
100010,2022-01-02,51.19,UPI,0
100010,2023-06-13,55.3,NetBanking,0
100010,2023-09-08,61.88,UPI,0
100011,2025-01-19,77.66,UPI,0
100011,2022-02-12,31.91,UPI,0
100011,2024-05-25,78.98,NetBanking,0
100011,2022-07-28,18.86,PayPal,0
100011,2022-03-04,58.09,NetBanking,0
100012,2024-11-25,31.35,Card,0
100012,2023-04-01,39.97,Card,0
100012,2025-05-30,57.9,Card,0
100012,2025-10-08,26.64,PayPal,0
100012,2023-07-27,52.97,Card,0
100012,2025-07-23,18.33,NetBanking,0
100012,2024-02-11,30.79,NetBanking,0
100012,2025-08-12,72.2,PayPal,0
100012,2025-07-07,13.17,Card,0
100012,2024-03-18,69.48,NetBanking,0
100012,2024-07-28,39.91,UPI,0
100012,2024-08-17,34.51,UPI,0
100012,2023-05-30,78.09,NetBanking,0
100012,2024-07-04,59.25,PayPal,0
100013,2023-02-25,29.86,Card,0
100013,2024-10-24,26.66,Card,0
100013,2023-06-15,37.67,Card,0
100013,2025-03-08,28.69,NetBanking,0
100013,2024-12-03,39.47,UPI,0
100013,2023-12-13,22.24,UPI,0
100013,2022-09-28,26.93,UPI,0
100013,2024-02-09,27.27,PayPal,1
100013,2024-07-25,27.07,UPI,0
100014,2022-12-04,61.33,PayPal,0
100014,2022-05-23,6.25,Card,0
100014,2023-04-16,9.74,PayPal,0
